,x,y,z,dataset_name,dataset_color
0,2.6591158,3.1221797,2.578344,ogbg-molpcba,0.0
1,2.5854247,3.0658627,2.7442935,ogbg-molpcba,0.0
2,2.5723581,3.2013357,2.6790793,ogbg-molpcba,0.0
3,3.666864,2.923593,2.6683958,ogbg-molpcba,0.0
4,2.7434402,3.1696923,2.4455068,ogbg-molpcba,0.0
5,1.5891403,2.326137,3.1366372,ogbg-molpcba,0.0
6,2.824215,2.9802914,2.7288036,ogbg-molpcba,0.0
7,1.5915655,2.3224068,3.1244202,ogbg-molpcba,0.0
8,3.5003738,2.9106464,2.8833668,ogbg-molpcba,0.0
9,3.787954,2.7912648,2.7753608,ogbg-molpcba,0.0
10,2.787847,3.084778,2.803846,ogbg-molpcba,0.0
11,3.7546618,3.1189308,2.4378955,ogbg-molpcba,0.0
12,1.5895995,2.3264556,3.1374552,ogbg-molpcba,0.0
13,1.6292607,2.3340924,3.1928682,ogbg-molpcba,0.0
14,4.3277497,2.4024007,2.7371013,ogbg-molpcba,0.0
15,2.8234038,3.4090843,2.1988018,ogbg-molpcba,0.0
16,4.3209023,1.3313603,3.123331,ogbg-molpcba,0.0
17,1.1247396,2.2274706,2.3610234,ogbg-molpcba,0.0
18,2.7465374,1.7996548,3.0836456,ogbg-molpcba,0.0
19,3.4118366,3.0899215,2.6556966,ogbg-molpcba,0.0
20,1.0848742,2.2205853,2.3491514,ogbg-molpcba,0.0
21,2.5494182,3.0469184,2.51431,ogbg-molpcba,0.0
22,2.9981523,3.3130283,2.5862393,ogbg-molpcba,0.0
23,2.2273018,3.110487,2.5449796,ogbg-molpcba,0.0
24,3.2069418,2.9802518,2.657394,ogbg-molpcba,0.0
25,2.4399805,3.174965,2.668788,ogbg-molpcba,0.0
26,2.4042802,3.1299772,2.610078,ogbg-molpcba,0.0
27,3.7905827,2.824008,2.964812,ogbg-molpcba,0.0
28,1.1157603,2.2332444,2.4769886,ogbg-molpcba,0.0
29,1.8840772,2.2371027,3.0578353,ogbg-molpcba,0.0
30,2.5408459,3.1033394,2.478576,ogbg-molpcba,0.0
31,2.7433887,3.011912,2.8164158,ogbg-molpcba,0.0
32,3.0737863,2.9236,2.855226,ogbg-molpcba,0.0
33,3.5803432,2.9039943,2.7806265,ogbg-molpcba,0.0
34,3.9295828,3.034289,2.4553115,ogbg-molpcba,0.0
35,3.8977783,2.8895252,2.7248147,ogbg-molpcba,0.0
36,4.3068213,2.6847358,2.7586274,ogbg-molpcba,0.0
37,1.1758361,2.2407475,2.5570292,ogbg-molpcba,0.0
38,2.2405255,2.9998415,2.0466588,ogbg-molpcba,0.0
39,1.8823617,2.2393043,3.0599394,ogbg-molpcba,0.0
40,3.6458142,2.9816933,2.7023704,ogbg-molpcba,0.0
41,2.8285809,3.1344416,2.76294,ogbg-molpcba,0.0
42,2.4238307,3.1958773,2.3807542,ogbg-molpcba,0.0
43,4.0723543,2.653851,2.9461682,ogbg-molpcba,0.0
44,1.0853624,2.2237358,2.351312,ogbg-molpcba,0.0
45,2.8675544,3.0024884,2.6636643,ogbg-molpcba,0.0
46,3.730974,2.7971773,2.995801,ogbg-molpcba,0.0
47,4.067658,2.113427,2.624378,ogbg-molpcba,0.0
48,3.7388628,2.8458562,2.7000706,ogbg-molpcba,0.0
49,2.6685455,3.0871112,2.559861,ogbg-molpcba,0.0
50,1.3010737,2.1122017,2.2967985,ogbg-molpcba,0.0
51,2.1552708,2.934038,2.1423557,ogbg-molpcba,0.0
52,4.4003186,1.1127948,2.8050606,ogbg-molpcba,0.0
53,2.19711,2.9084146,1.8993933,ogbg-molpcba,0.0
54,1.3430569,1.938526,2.1328597,ogbg-molpcba,0.0
55,1.3319857,1.9302808,2.131415,ogbg-molpcba,0.0
56,2.8230152,3.1687737,2.2510767,ogbg-molpcba,0.0
57,1.6759079,2.2976327,3.1750357,ogbg-molpcba,0.0
58,3.831421,2.65036,3.0237045,ogbg-molpcba,0.0
59,2.984175,2.915531,2.882076,ogbg-molpcba,0.0
