,winner_count,molclintox,egos,molesol,facebook,cora,roads,neurons,trees,random,comm
Metric,,ROC-AUC,ROC-AUC,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE
,,,,,,,,,,,
Untrained,,0.48,0.675,11.1,0.0562,0.484,0.0501,1.36,0.0966,0.0209,0.00685
Untrained (no labels),,0.5,0.642,8.86,0.0572,0.532,0.0515,1.35,0.136,0.0201,0.00674
Sweep 1,,0.5,0.685,7.57,0.044,0.685,0.0511,1.85,0.0909,0.0194,0.0157
Sweep 2,,0.497,0.697,5.33,0.0431,0.702,0.0457,1.26,0.101,0.0216,0.0635
Sweep 3,,0.5,0.693,3.32,0.0428,0.47,0.0465,1.09,0.102,0.0213,0.00789
Sweep 4,,0.5,0.68,3.32,0.0405,0.383,0.0476,1.05,0.103,0.0211,0.0088
Sweep 4 no labels,,0.493,0.68,4.62,0.0405,0.323,0.0476,1.05,0.103,0.0211,0.0088
,,,,,,,,,,,
Winner,,,,,,,,,,,
,,,,,,,,,,,
,,molclintox,egos,molesol,facebook,cora,roads,neurons,trees,random,comm
,N samples,148,1000,112,1000,1000,1000,1000,1000,1000,1000
Metric,,1 - ROC-AUC,1 - ROC-AUC,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE
,Heuristic Total (weighted by samples),,,,,,,,,,
Untrained,3719.81,0.52,0.325,11.1,0.0562,0.484,0.0501,1.36,0.0966,0.0209,0.00685
Untrained (no labels),3577.86,0.5,0.358,8.86,0.0572,0.532,0.0515,1.35,0.136,0.0201,0.00674
Sweep 1,3992.94,0.5,0.315,7.57,0.044,0.685,0.0511,1.85,0.0909,0.0194,0.0157
Sweep 2,3211.304,0.503,0.303,5.33,0.0431,0.702,0.0457,1.26,0.101,0.0216,0.0635
Sweep 3,2533.33,0.5,0.307,3.32,0.0428,0.47,0.0465,1.09,0.102,0.0213,0.00789
Sweep 4,2419.84,0.5,0.32,3.32,0.0405,0.383,0.0476,1.05,0.103,0.0211,0.0088
,2506.476,0.507,0.32,4.62,0.0405,0.323,0.0476,1.05,0.103,0.0211,0.0088
